S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
1,"Agriculture, forestry and fishing",279741,251156,249254,243327,331180,399283
1.1,Crops,62548,68703,70377,59913,97771,102188
1.2,Livestock,215469,180727,177091,181682,231483,295157
1.3,Forestry and logging,996,980,939,851,991,1045
1.4,Fishing and aquaculture,729,746,847,881,935,892
2,Mining and quarrying,679588,655963,869632,812711,928102,1005912
Total,Primary,959329,907119,1118886,1056038,1259282,1405195
3,Manufacturing,1591119,2008472,2205990,2412264,3283700,4213292
4,"Electricity, gas, water supply & other utility services",261284,468119,590676,614937,782906,877995
5,Construction,1588185,1692371,1862414,1924484,1988776,2055148
Total,Secondary,3440587,4168962,4659080,4951685,6055382,7146435
6,"Trade, repair, hotels and restaurants",3927832,4559580,5244633,5441535,5603632,5809062
6.1,Trade & repair services,3554473,4148003,4799955,4946896,5071029,5233452
6.2,Hotels & restaurants,373360,411577,444678,494639,532603,575610
7,"Transport, storage, communication & services related to broadcasting",3411161,3870730,4227022,4602337,4828530,5106065
7.1,Railways,168156,180221,217710,249803,260441,286545
7.2,Road transport,621827,674917,671321,677547,682926,688235
7.3,Water transport,354,357,301,364,427,489
7.4,Air transport,26337,100553,71624,336646,351605,435895
7.5,Services incidental to transport,2099967,2353731,2646588,2712294,2902890,3051269
7.6,Storage,18189,21015,23402,25012,30457,34792
7.7,Communication & services related to broadcasting,476331,539936,596076,600670,599785,608839
8,Financial services,5303210,5886620,6341724,6850021,7374586,7899151
9,"Real estate, ownership of dwelling & professional services",6659468,7525305,8743460,10650525,12164306,14700663
10,Public administration,1512284,1403545,1471370,1597862,1804119,2004160
11,Other services,2191543,2523219,2857319,3374334,3907803,4594283
Total,Tertiary,23005499,25768998,28885528,32516613,35682975,40113383
12,TOTAL NSVA at basic prices,27405415,30845080,34663493,38524336,42997640,48665013
13,Taxes on Products,4442090,5380588,6308016,6611719,7686011,8700135
14,Subsidies on products,385589,500578,505118,392546,573248,799647
15,Net State Domestic Product,31461916,35725090,40466391,44743509,50110403,56565501
16,Population ('00),169750,173000,176310,179690,183140,186640
17,Per Capita NSDP (Rs.),185343,206503,229518,249004,273618,303073
